No Part,Nama Part,Proses,Customer,Status
TMP-OMI-090715-003 A,G9TA PANGGUNG ELECTRIC CITABUANA,Proses 1,OMI,Aktif
TMP-OMI-090715-001 A,G9TA PANGGUNG ELECTRIC CITRABUANA,Proses 1,OMI,Aktif
3107148-2 A,G9TA SMART METER,Proses 1,OMI,Aktif
9523919-0 B,G9TA-K1A,Proses 1,OMI,Aktif
9523919-0 A,G9TA-K1A,Proses 1,OMI,Aktif
9523922-0 A,G9TA-K1A,Proses 1,OMI,Aktif
9523918-2 A,G9TA-K1A,Proses 1,OMI,Aktif
9523916-6 B,G9TA-K1A,Proses 1,OMI,Aktif
1695463-7 A,G9TA-MCD1,Proses 1,OMI,Aktif
3107147- 4 A,G9TA-SMI1,Proses 1,OMI,Aktif
3107150-4 A,G9TA-SMI2,Proses 1,OMI,Aktif
3777155-9 A,G9TB,Proses 1,OMI,Aktif
3777150-8 A,G9TB,Proses 1,OMI,Aktif
3777151-6 A,G9TB,Proses 1,OMI,Aktif
3777152-4 A,G9TB,Proses 1,OMI,Aktif
3777153-2 A,G9TB,Proses 1,OMI,Aktif
3777154-0 A1,G9TB,Proses 1,OMI,Aktif
3777160-5 A,G9TB,Proses 1,OMI,Aktif
3777158-3 A,G9TB,Proses 1,OMI,Aktif
3777149-4 A,G9TB,Proses 1,OMI,Aktif
3777163-0 A,G9TB,Proses 1,OMI,Aktif
3606092-6 A,G9TB-E,Proses 1,OMI,Aktif
5638533-3 A,H3CR-F,Proses 1,OMI,Aktif
0483068-1 G,LY 1,Proses 1,OMI,Aktif
0354649-1 Q,LY 4,Proses 1,OMI,Aktif
4379921-0 A,MK3P-S,Proses 1,OMI,Aktif
PC1404-3113 A,PC1404,Proses 1,OMI,Aktif
5452922-2 A,SS-01-2,Proses 1,OMI,Aktif
5452923-0 A2,SS-01-3,Proses 1,OMI,Aktif
5469040-6 B,SS-5-2,Proses 1,OMI,Aktif
5469041-4 A1,SS-5-3 (NB),Proses 1,OMI,Aktif
9431318-4 A,SS-5GL,Proses 1,OMI,Aktif
5493123-3 B,V (N),Proses 1,OMI,Aktif
2244068-8 A2,Z-15GQ-MA,Proses 1,OMI,Aktif
35200-MGE-6430-M1,BASE H,Proses 1,TOYODENSO,Aktif
59026-1063,BASE PLATE,Proses 1,TOYODENSO,Aktif
35130-MLZA-EB10-M1,"CLAMP, CORD",Proses 1,TOYODENSO,Aktif
37700-K48-A010-M1,COLLAR,Proses 1,TOYODENSO,Aktif
35170-K59-A110-M1,CONTACT D,Proses 1,TOYODENSO,Aktif
35150-KYZ-V010-M1,CONTACT LT SWITCH,Proses 1,TOYODENSO,Aktif
35170-KYZ-9010-M1,CONTACT SWITCH,Proses 1,TOYODENSO,Aktif
35130-MLL-D110-M1,COVER,Proses 1,TOYODENSO,Aktif
710009304,"PLATE, SET",Proses 1,TOYODENSO,Aktif
BRS-8291L-00,"PLATE, YCC-S",Proses 1,TOYODENSO,Aktif
P25049,RECT PLATE (TYPE-C),Proses 1,TOYODENSO,Aktif
P25048,RECT TERMINAL (TYPE-C),Proses 1,TOYODENSO,Aktif
P21904-03,SPRING PLATE,Proses 1,TOYODENSO,Aktif
30510-KPH-7010-M1,TAB TERMINAL 2,Proses 1,TOYODENSO,Aktif
35300-TVO-0030,TERMINAL,Proses 1,TOYODENSO,Aktif
P22192-02,TERMINAL,Proses 1,TOYODENSO,Aktif
39630-K41-N210-M1,TERMINAL A,Proses 1,TOYODENSO,Aktif
P22510-01,TERMINAL A,Proses 1,TOYODENSO,Aktif
P22511-02,TERMINAL B,Proses 1,TOYODENSO,Aktif
P22448-03,TERMINAL INTR,Proses 1,TOYODENSO,Aktif
35300-TAAA-J010-M1-A,TERMINAL TAA,Proses 1,TOYODENSO,Aktif
35200-K03-N310-M1,TERMINAL WA,Proses 1,TOYODENSO,Aktif
35200-K03S-N310-M1,TERMINAL WB,Proses 1,TOYODENSO,Aktif
12K-20651-4000-D,BUSBAR,Proses 1,TSHUCIYA,Aktif
12K-20651-4000,BUSBAR,Proses 1,TSHUCIYA,Aktif
35K-H2111-0000,KNOB PLATE (NEW),Proses 1,TSHUCIYA,Aktif
B8A-8135H-00,CASE,Proses 1,YEID,Aktif
2S5-H1328-00,CLAMP,Proses 1,YEID,Aktif
B5D-81328-00,CLAMP,Proses 1,YEID,Aktif
B3W-81328-00,CLAMP,Proses 1,YEID,Aktif
BST-81328-00,CLAMP,Proses 1,YEID,Aktif
2S5-H131K-00,CORE COMP. 2,Proses 1,YEID,Aktif
5D9-H131K-00,CORE COMP. 2,Proses 1,YEID,Aktif
5ER-H5592-10,STAY PULSER,Proses 1,YEID,Aktif
5TP-H5592-00,STAY PULSER,Proses 1,YEID,Aktif
5D9-85592-00,STAY PULSER,Proses 1,YEID,Aktif
18D-85592-00,STAY PULSER,Proses 1,YEID,Aktif
5TN-H1925-00,TERMINAL,Proses 1,YEID,Aktif
1WD-8184F-00,TERMINAL 2,Proses 1,YEID,Aktif
B5D-85562-00,TERMINAL 2,Proses 1,YEID,Aktif
B3W-85562-00,TERMINAL 2,Proses 1,YEID,Aktif
5AU-8232X-01,TERMINAL EARTH,Proses 1,YEID,Aktif
5TN-H5577-00,TERMINAL WELD,Proses 1,YEID,Aktif
